State,County,Year,Total population,Male Total population,Female Total population
Arkansas,Dallas County,2009,8214,3886,4328
Arkansas,Desha County,2009,13737,6520,7217
Arkansas,Drew County,2009,18699,9154,9545
Arkansas,Faulkner County,2009,104468,50976,53492
Arkansas,Franklin County,2009,18037,8730,9307
Arkansas,Fulton County,2009,11700,5625,6075
Arkansas,Garland County,2009,96285,46891,49394
Arkansas,Grant County,2009,17544,8716,8828
Arkansas,Greene County,2009,40190,19749,20441
Arkansas,Hempstead County,2009,23094,11585,11509
Arkansas,Hot Spring County,2009,31621,15789,15832
Arkansas,Howard County,2009,14253,6964,7289
Arkansas,Independence County,2009,34462,16929,17533
Arkansas,Izard County,2009,13086,6682,6404
Arkansas,Jackson County,2009,17038,8261,8777
Arkansas,Jefferson County,2009,79698,39196,40502
Arkansas,Johnson County,2009,24576,12114,12462
Arkansas,Lafayette County,2009,7715,3801,3914
Arkansas,Lawrence County,2009,16912,8220,8692
Arkansas,Lee County,2009,10776,5932,4844
Arkansas,Lincoln County,2009,13753,8067,5686
Arkansas,Little River County,2009,12921,6368,6553
Arkansas,Logan County,2009,22550,11275,11275
Arkansas,Lonoke County,2009,63424,31378,32046
Arkansas,Madison County,2009,15478,7788,7690
Arkansas,Marion County,2009,16581,8212,8369
Arkansas,Miller County,2009,42971,20940,22031
Arkansas,Mississippi County,2009,46778,22404,24374
Arkansas,Monroe County,2009,8606,3972,4634
Arkansas,Montgomery County,2009,9064,4381,4683
Arkansas,Nevada County,2009,9324,4592,4732
Arkansas,Newton County,2009,8311,4236,4075
Arkansas,Ouachita County,2009,26016,12352,13664
Arkansas,Perry County,2009,10294,5112,5182
Arkansas,Phillips County,2009,22002,10103,11899
Arkansas,Pike County,2009,10763,5361,5402
Arkansas,Poinsett County,2009,24865,11974,12891
Arkansas,Polk County,2009,20140,9913,10227
Arkansas,Pope County,2009,58963,29054,29909
Arkansas,Prairie County,2009,8776,4338,4438
Arkansas,Pulaski County,2009,375518,179692,195826
Arkansas,Randolph County,2009,18058,8808,9250
Arkansas,St. Francis County,2009,26769,13612,13157
Arkansas,Saline County,2009,95000,47194,47806
Arkansas,Scott County,2009,11170,5544,5626
Arkansas,Searcy County,2009,8002,3944,4058
Arkansas,Sebastian County,2009,121325,59186,62139
Arkansas,Sevier County,2009,16516,8215,8301
Arkansas,Sharp County,2009,17689,8483,9206
Arkansas,Stone County,2009,11920,5854,6066
Arkansas,Union County,2009,43157,20657,22500
Arkansas,Van Buren County,2009,16411,7938,8473
Arkansas,Washington County,2009,193353,96635,96718
Arkansas,White County,2009,73838,36202,37636
Arkansas,Woodruff County,2009,7677,3703,3974
Arkansas,Yell County,2009,21912,10934,10978
California,Alameda County,2009,1457095,719873,737222
California,Alpine County,2009,1153,606,547
California,Amador County,2009,38039,20452,17587
California,Butte County,2009,217917,107195,110722
California,Calaveras County,2009,46548,23206,23342
California,Colusa County,2009,21001,10625,10376
California,Contra Costa County,2009,1015571,499953,515618
California,Del Norte County,2009,28729,15568,13161
California,El Dorado County,2009,175941,88325,87616
California,Fresno County,2009,890750,448896,441854
California,Glenn County,2009,27891,14154,13737
California,Humboldt County,2009,129003,63866,65137
California,Imperial County,2009,160034,83125,76909
California,Inyo County,2009,17438,8565,8873
California,Kern County,2009,780953,403976,376977
California,Kings County,2009,146696,84670,62026
California,Lake County,2009,64756,32036,32720
California,Lassen County,2009,34428,22466,11962
California,Los Angeles County,2009,9785295,4850087,4935208
California,Madera County,2009,144794,69804,74990
California,Marin County,2009,246711,123103,123608
California,Mariposa County,2009,17865,9025,8840
California,Mendocino County,2009,86030,43065,42965
California,Merced County,2009,242235,121826,120409
California,Modoc County,2009,9162,4703,4459
California,Mono County,2009,12925,7023,5902
California,Monterey County,2009,404922,210686,194236
California,Napa County,2009,132173,66452,65721
California,Nevada County,2009,97063,48543,48520
California,Orange County,2009,2976831,1488489,1488342
California,Placer County,2009,332059,164194,167865
California,Plumas County,2009,20550,10397,10153
California,Riverside County,2009,2036304,1018316,1017988
California,Sacramento County,2009,1375605,676045,699560
California,San Benito County,2009,54752,27915,26837
California,San Bernardino County,2009,1986635,997128,989507
California,San Diego County,2009,2987543,1497336,1490207
California,San Francisco County,2009,797271,405087,392184
California,San Joaquin County,2009,664641,333069,331572
California,San Luis Obispo County,2009,262149,134587,127562
California,San Mateo County,2009,701886,348520,353366
California,Santa Barbara County,2009,402025,202675,199350
California,Santa Clara County,2009,1729378,882135,847243
California,Santa Cruz County,2009,251398,125864,125534
California,Shasta County,2009,179387,87904,91483
California,Sierra County,2009,3240,1689,1551
California,Siskiyou County,2009,44404,21955,22449
California,Solano County,2009,406461,204517,201944
California,Sonoma County,2009,464218,229877,234341
California,Stanislaus County,2009,505165,250196,254969
California,Sutter County,2009,90731,45274,45457
California,Tehama County,2009,60601,30091,30510
California,Trinity County,2009,13922,6940,6982
California,Tulare County,2009,416299,209465,206834
California,Tuolumne County,2009,55761,29525,26236
California,Ventura County,2009,792313,397194,395119
California,Yolo County,2009,192974,94711,98263
California,Yuba County,2009,70906,35657,35249
Colorado,Adams County,2009,419439,212783,206656
Colorado,Alamosa County,2009,15353,7701,7652
Colorado,Arapahoe County,2009,544157,268280,275877
Colorado,Archuleta County,2009,12225,6848,5377
Colorado,Baca County,2009,3847,1839,2008
Colorado,Bent County,2009,6128,3796,2332
Colorado,Boulder County,2009,295524,149564,145960
Colorado,Broomfield County,2009,52882,26717,26165
Colorado,Chaffee County,2009,16870,9047,7823
Colorado,Cheyenne County,2009,1622,756,866
Colorado,Clear Creek County,2009,8886,4574,4312
Colorado,Conejos County,2009,8021,3955,4066
Colorado,Costilla County,2009,3282,1638,1644
Colorado,Crowley County,2009,6311,4470,1841
Colorado,Custer County,2009,3598,1796,1802
Colorado,Delta County,2009,30353,15109,15244
Colorado,Denver County,2009,582447,294727,287720
Colorado,Dolores County,2009,1771,937,834
Colorado,Douglas County,2009,269451,134954,134497
Colorado,Eagle County,2009,50614,27316,23298
Colorado,Elbert County,2009,22786,11492,11294
Colorado,El Paso County,2009,586446,292331,294115
Colorado,Fremont County,2009,47393,27898,19495
Colorado,Garfield County,2009,52878,27096,25782
Colorado,Gilpin County,2009,5177,2629,2548
Colorado,Grand County,2009,13550,7029,6521
Colorado,Gunnison County,2009,14924,7937,6987
Colorado,Hinsdale County,2009,554,294,260
Colorado,Huerfano County,2009,7713,4329,3384
Colorado,Jackson County,2009,1305,713,592
Colorado,Jefferson County,2009,529025,263274,265751
Colorado,Kiowa County,2009,1644,741,903
Colorado,Kit Carson County,2009,8072,4477,3595
Colorado,Lake County,2009,8025,4086,3939
Colorado,La Plata County,2009,49678,25125,24553
Colorado,Larimer County,2009,286978,143154,143824
Colorado,Las Animas County,2009,15814,7831,7983
Colorado,Lincoln County,2009,5285,3079,2206
Colorado,Logan County,2009,20828,11123,9705
Colorado,Mesa County,2009,137879,67593,70286
Colorado,Mineral County,2009,1077,531,546
Colorado,Moffat County,2009,13555,6942,6613
Colorado,Montezuma County,2009,25000,12283,12717
Colorado,Montrose County,2009,39303,19355,19948
Colorado,Morgan County,2009,27630,13913,13717
Colorado,Otero County,2009,18833,9071,9762
Colorado,Ouray County,2009,4519,2083,2436
Colorado,Park County,2009,16788,8760,8028
Colorado,Phillips County,2009,4479,2119,2360
Colorado,Pitkin County,2009,15314,7993,7321
Colorado,Prowers County,2009,13206,6767,6439
Colorado,Pueblo County,2009,153814,75212,78602
Colorado,Rio Blanco County,2009,6183,3095,3088
Colorado,Rio Grande County,2009,11743,5848,5895
Colorado,Routt County,2009,22356,12081,10275
Colorado,Saguache County,2009,6929,3465,3464
Colorado,San Juan County,2009,686,478,208
Colorado,San Miguel County,2009,7385,3899,3486
Colorado,Sedgwick County,2009,2378,1152,1226
Colorado,Summit County,2009,26246,14931,11315
Colorado,Teller County,2009,21554,10947,10607
Colorado,Washington County,2009,4647,2258,2389
Colorado,Weld County,2009,241221,121195,120026
Colorado,Yuma County,2009,9630,4687,4943
Connecticut,Fairfield County,2009,892843,436401,456442
Connecticut,Hartford County,2009,874409,423285,451124
Connecticut,Litchfield County,2009,188411,92690,95721
Connecticut,Middlesex County,2009,164004,80331,83673
Connecticut,New Haven County,2009,843532,407736,435796
Connecticut,New London County,2009,266183,131131,135052
Connecticut,Tolland County,2009,148526,74946,73580
Connecticut,Windham County,2009,116579,57615,58964
Delaware,Kent County,2009,151332,72783,78549
Delaware,New Castle County,2009,527774,256413,271361
Delaware,Sussex County,2009,184726,90345,94381
DC,District of Columbia,2009,588433,277522,310911
Florida,Alachua County,2009,238990,117011,121979
Florida,Baker County,2009,25478,13327,12151
Florida,Bay County,2009,163451,80876,82575
Florida,Bradford County,2009,28841,16137,12704
Florida,Brevard County,2009,532697,261529,271168
Florida,Broward County,2009,1759132,855828,903304
Florida,Calhoun County,2009,13525,7186,6339
Florida,Charlotte County,2009,156043,75364,80679
Florida,Citrus County,2009,138161,66464,71697
Florida,Clay County,2009,179850,88593,91257
Florida,Collier County,2009,313165,159211,153954
Florida,Columbia County,2009,67397,34330,33067
Florida,DeSoto County,2009,34890,19809,15081
Florida,Dixie County,2009,14800,8031,6769
Florida,Duval County,2009,846385,410031,436354
Florida,Escambia County,2009,303292,149901,153391
Florida,Flagler County,2009,85623,41663,43960
Florida,Franklin County,2009,10998,5961,5037
Florida,Gadsden County,2009,46725,22114,24611
Florida,Gilchrist County,2009,16771,8470,8301
Florida,Glades County,2009,11070,6042,5028
Florida,Gulf County,2009,15714,9403,6311
Florida,Hamilton County,2009,14228,8370,5858
Florida,Hardee County,2009,28684,16130,12554
Florida,Hendry County,2009,39244,22146,17098
Florida,Hernando County,2009,166338,79766,86572
Florida,Highlands County,2009,97738,48292,49446
Florida,Hillsborough County,2009,1167116,574856,592260
Florida,Holmes County,2009,19065,10040,9025
Florida,Indian River County,2009,131811,64428,67383
Florida,Jackson County,2009,49618,26633,22985
Florida,Jefferson County,2009,13933,7207,6726
Florida,Lafayette County,2009,7981,4334,3647
Florida,Lake County,2009,297828,145161,152667
Florida,Lee County,2009,573676,283912,289764
Florida,Leon County,2009,261023,124828,136195
Florida,Levy County,2009,38555,18533,20022
Florida,Liberty County,2009,7811,4655,3156
Florida,Madison County,2009,18924,9933,8991
Florida,Manatee County,2009,313011,152936,160075
Florida,Marion County,2009,318886,154905,163981
Florida,Martin County,2009,138791,68897,69894
Florida,Miami-Dade County,2009,2457044,1196859,1260185
Florida,Monroe County,2009,74024,39285,34739
Florida,Nassau County,2009,67977,33679,34298
Florida,Okaloosa County,2009,180955,90095,90860
Florida,Okeechobee County,2009,39936,21215,18721
Florida,Orange County,2009,1062344,528176,534168
Florida,Osceola County,2009,254739,126863,127876
Florida,Palm Beach County,2009,1268601,619926,648675
Florida,Pasco County,2009,453933,220755,233178
Florida,Pinellas County,2009,915003,439300,475703
Florida,Polk County,2009,566657,279589,287068
Florida,Putnam County,2009,73250,36235,37015
Florida,St. Johns County,2009,174994,85906,89088
Florida,St. Lucie County,2009,255984,125853,130131
Florida,Santa Rosa County,2009,147302,73883,73419
Florida,Sarasota County,2009,367446,176700,190746
Florida,Seminole County,2009,408694,201105,207589
Florida,Sumter County,2009,71519,38421,33098
Florida,Suwannee County,2009,39256,19392,19864
Florida,Taylor County,2009,20723,10977,9746
Florida,Union County,2009,14574,9128,5446
Florida,Volusia County,2009,494449,242039,252410
